Ticker,Title,Country,Market,Description,Notes
MSFT,Microsoft,USA,,,
AAPL,Apple,USA,,,
TSLA,Tesla,USA,,,
FB,Facebook,USA,,,
F,Ford,USA,,,
KO,Coca Cola,USA,,,
CMCSA,Comcast,USA,,,
NFLX,Netflix,USA,,,
INTU,Intuit,USA,,,
NVDA,Nvidia,USA,,,
BABA,Alibaba,USA,,,
EA,Electronic Arts,USA,,,
ADBE,Adobe,USA,,,
ADSK,Autodesk,USA,,,
GOOGL,Google Voting,USA,,Voting Shares,
INTC,Intel,USA,,,
COLM,Columbia,USA,,,
CSCO,Cisco,USA,,,
PEP,Pepsi,USA,,,
AMZN,Amazon,USA,,,
SPOT,Spotify,USA,,,
NIO,Nio,USA,,,
AMAT,Applied Materials,USA,,,
BYDDY,BYD Automotive,USA,,,
GM,General Motors,USA,,,
GOOG,Google Non-Voting,USA,,Non Voting Shares,
UBER,Uber,USA,,,
LYFT,Lyft,USA,,,
T,AT&T,USA,,,
FDX,Fedex,USA,,,
BIDU,BIDU,USA,,,
SNAP,Snapchat,USA,,,
QCOM,Qualcomm,USA,,,
BYND,Beyond Meat,USA,,,
DIS,Disney,USA,,,
GPRO,Gopro,USA,,,
VTSAX,Vanguard Total Stock Index,USA,,,
VTIAX,Vanguard International Stock Index,USA,,,
VBTLX,Vanguard Total Bond Index,USA,,,
^GSPC,S&P 500,USA,,,
^NSEI,Nifty 50,India,NSE,,
^BSESN,Sensex 30,India,BSE,,
RELIANCE.NS,Reliance Industries,India,NSE,,
AMD,AMD,USA,,,
0P00005WMV.BO,Nifty HDFC,India,,,
0P0000XW7U.BO,Sensex HDFC,India,,,
HEROMOTOCO.NS,Hero Motocorp,India,,,
BOSCHLTD.NS,Bosch,India,,,
ASTRAZEN.NS,Astrazeneca,India,,,
BTC-USD,Bitcoin,USA,,,
XMR-USD,Monero,USA,,,
ETH-USD,Ethereum,USA,,,
DOGE-USD,Doge,USA,,,
GME,Gamestop,USA,,,
