Ticker,Title,Country,Group,Description,Notes
MSFT,Microsoft,usa,,,
AAPL,Apple,usa,,,
TSLA,Tesla,usa,,,
FB,Facebook,usa,,,
F,Ford,usa,,,
KO,Coca Cola,usa,,,
CMCSA,Comcast,usa,,,
NFLX,Netflix,usa,,,
INTU,Intuit,usa,,,
NVDA,Nvidia,usa,,,
BABA,Alibaba,usa,,,
EA,Electronic Arts,usa,,,
ADBE,Adobe,usa,,,
ADSK,Autodesk,usa,,,
GOOGL,Google Voting,usa,,Voting Shares,
INTC,Intel,usa,,,
COLM,Columbia,usa,,,
CSCO,Cisco,usa,,,
PEP,Pepsi,usa,,,
AMZN,Amazon,usa,,,
SPOT,Spotify,usa,,,
NIO,Nio,usa,,,
AMAT,Applied Materials,usa,,,
BYDDY,BYD Automotive,usa,,,
GM,General Motors,usa,,,
GOOG,Google Non-Voting,usa,,Non Voting Shares,
UBER,Uber,usa,,,
LYFT,Lyft,usa,,,
T,AT&T,usa,,,
FDX,Fedex,usa,,,
BIDU,BIDU,usa,,,
SNAP,Snapchat,usa,,,
QCOM,Qualcomm,usa,,,
BYND,Beyond Meat,usa,,,
DIS,Disney,usa,,,
GPRO,Gopro,usa,,,
VTSAX,Vanguard Total Stock Index,usa,,,
VTIAX,Vanguard International Stock Index,usa,,,
VBTLX,Vanguard Total Bond Index,usa,,,
^GSPC,S&P 500,usa,,,
^NSEI,Nifty 50,india,,,
^BSESN,Sensex 30,india,,,
RELIANCE.NS,Reliance Industries,india,,,
AMD,AMD,usa,,,
0P00005WMV.BO,Nifty HDFC,india,,,
0P0000XW7U.BO,Sensex HDFC,india,,,
HEROMOTOCO.NS,Hero Motocorp,india,,,
BOSCHLTD.NS,Bosch,india,,,
ASTRAZEN.NS,Astrazeneca,india,,,
BTC-USD,Bitcoin,usa,cyrpto,,
XMR-USD,Monero,usa,crypto,,
ETH-USD,Ethereum,usa,crypto,,
DOGE-USD,Doge,usa,crypto,,
GME,Gamestop,usa,,,
NANO-USD,Nano Coin,usa,crypto,,
ADA-USD,Cardano,usa,crypto,,
BNB-USD,Binance Chain,usa,crypto,,
